0,1,2,3,4,5
"Abbey Park
                Score:8.5Rank:26/689add_circleAdd to compare",,,,,
"Acton
                Score:6Rank:378/689add_circleAdd to compare",,,,,
"Adam Scott
                Score:5.4Rank:471/689add_circleAdd to compare",,,,,
"Agincourt
                Score:8.3Rank:41/689add_circleAdd to compare",,,,,
,,,,,
,,,,,
"Bishop Ryan
                     2021 - 22 Score6.2 2021 - 22 Rank341/689CityHamiltonAdd to compare",,,,,
"Bishop Smith
                     2021 - 22 Score7 2021 - 22 Rank210/689CityPembrokeAdd to compare",,,,,
"Bishop Tonnos
                     2021 - 22 Score7.6 2021 - 22 Rank120/689CityAncasterAdd to compare",,,,,
"Blenheim
                     2021 - 22 Score4.8 2021 - 22 Rank531/689CityBlenheimAdd to compare",,,,,
"Blessed Mother Teresa
                     2021 - 22 Score3.9 2021 - 22 Rank606/689CityTorontoAdd to compare",,,,,
"Blessed Trinity
                     2021 - 22 Score8.2 2021 - 22 Rank52/689CityGrimsbyAdd to compare",,,,,
"Bloor
                     2021 - 22 Score8.5 2021 - 22 Rank26/689CityTorontoAdd to compare",,,,,
"Bluevale
                     2021 - 22 Score7.4 2021 - 22 Rank154/689CityWaterlooAdd to compare",,,,,
"Bowmanville
                     2021 - 22 Score6.6 2021 - 22 Rank273/689CityBowmanvilleAdd to compare",,,,,
"Bracebridge and Muskoka Lakes
                     2021 - 22 Score6.6 2021 - 22 Rank273/689CityBracebridgeAdd to compare",,,,,
"Bradford
                     2021 - 22 Score6.9 2021 - 22 Rank227/689CityBradfordAdd to compare",,,,,
"Brantford
                     2021 - 22 Score5.9 2021 - 22 Rank394/689CityBrantfordAdd to compare",,,,,
"Brebeuf
                     2021 - 22 Score6.1 2021 - 22 Rank357/689CityTorontoAdd to compare",,,,,
"Brock
                     2021 - 22 Score4.8 2021 - 22 Rank531/689CityCanningtonAdd to compare",,,,,
"Brockville
                     2021 - 22 Score7.3 2021 - 22 Rank167/689CityBrockvilleAdd to compare",,,,,
"Brookfield
                     2021 - 22 Score5.6 2021 - 22 Rank443/689CityOttawaAdd to compare",,,,,
"Brooklin
                     2021 - 22 Score7.2 2021 - 22 Rank181/689CityWhitbyAdd to compare",,,,,
"Bruce Peninsula
                     2021 - 22 Score6.4 2021 - 22 Rank305/689CityLion's HeadAdd to compare",,,,,
"Bur Oak
                     2021 - 22 Score8.8 2021 - 22 Rank15/689CityMarkhamAdd to compare",,,,,
"Burlington Central
                     2021 - 22 Score7.8 2021 - 22 Rank87/689CityBurlingtonAdd to compare",,,,,
"Béatrice-Desloges
                     2021 - 22 Score6.9 2021 - 22 Rank227/689CityOrléansAdd to compare",,,,,
"C W Jefferys
                     2021 - 22 Score3.9 2021 - 22 Rank606/689CityTorontoAdd to compare",,,,,
"Cairine Wilson
                     2021 - 22 Score7.3 2021 - 22 Rank167/689CityOttawaAdd to compare",,,,,
"Cameron Heights
                     2021 - 22 Score7.6 2021 - 22 Rank120/689CityKitchenerAdd to compare",,,,,
"Campbellford
                     2021 - 22 Score4.4 2021 - 22 Rank575/689CityCampbellfordAdd to compare",,,,,
"Cardinal Ambrozic
                     2021 - 22 Score6.8 2021 - 22 Rank246/689CityBramptonAdd to compare",,,,,
"Cardinal Carter
                     2021 - 22 Score7.6 2021 - 22 Rank120/689CityAuroraAdd to compare",,,,,
"Cardinal Carter
                     2021 - 22 Score7.7 2021 - 22 Rank102/689CityLeamingtonAdd to compare",,,,,
"Cardinal Carter-Arts
                     2021 - 22 Score8.9 2021 - 22 Rank12/689CityTorontoAdd to compare",,,,,
"Cardinal Leger
                     2021 - 22 Score6.4 2021 - 22 Rank305/689CityBramptonAdd to compare",,,,,
"Cardinal Newman
                     2021 - 22 Score5.3 2021 - 22 Rank480/689CityTorontoAdd to compare",,,,,
"Cardinal Newman
                     2021 - 22 Score6.5 2021 - 22 Rank288/689CityStoney CreekAdd to compare",,,,,
"Carleton Place
                     2021 - 22 Score6.8 2021 - 22 Rank246/689CityCarleton PlaceAdd to compare",,,,,
"Cathedral
                     2021 - 22 Score3.2 2021 - 22 Rank637/689CityHamiltonAdd to compare",,,,,
"Catholic Central
                     2021 - 22 Score2.3 2021 - 22 Rank660/689CityWindsorAdd to compare",,,,,
"Catholic Central
                     2021 - 22 Score5.7 2021 - 22 Rank425/689CityLondonAdd to compare",,,,,
"Cayuga
                     2021 - 22 Score4.6 2021 - 22 Rank552/689CityCayugaAdd to compare",,,,,
"Cedarbrae
                     2021 - 22 Score5.4 2021 - 22 Rank471/689CityTorontoAdd to compare",,,,,
"Centennial
                     2021 - 22 Score5.7 2021 - 22 Rank425/689CityWellandAdd to compare",,,,,
"Centennial
                     2021 - 22 Score8.6 2021 - 22 Rank22/689CityGuelphAdd to compare",,,,,
"Centennial
                     2021 - 22 Score4.8 2021 - 22 Rank531/689CityBellevilleAdd to compare",,,,,
"Central
                     2021 - 22 Score2.7 2021 - 22 Rank651/689CityTorontoAdd to compare",,,,,
"Central Algoma
                     2021 - 22 Score4.2 2021 - 22 Rank587/689CityDesbaratsAdd to compare",,,,,
"Central Commerce
                     2021 - 22 Score7 2021 - 22 Rank210/689CityTorontoAdd to compare",,,,,
"Central Elgin
                     2021 - 22 Score6.8 2021 - 22 Rank246/689CitySt ThomasAdd to compare",,,,,
"Central Huron
                     2021 - 22 Score5.7 2021 - 22 Rank425/689CityClintonAdd to compare",,,,,
"Centre Dufferin
                     2021 - 22 Score5.4 2021 - 22 Rank471/689CityShelburneAdd to compare",,,,,
"Centre Hastings
                     2021 - 22 Score3.7 2021 - 22 Rank615/689CityMadocAdd to compare",,,,,
"Centre Wellington
                     2021 - 22 Score6.7 2021 - 22 Rank260/689CityFergusAdd to compare",,,,,
"Chaminade
                     2021 - 22 Score5.6 2021 - 22 Rank443/689CityTorontoAdd to compare",,,,,
,,,,,
,,,,,
Bishop Ryan,6.2,341/689,Hamilton,,
Bishop Smith,7,210/689,Pembroke,,
Bishop Tonnos,7.6,120/689,Ancaster,,
Blenheim,4.8,531/689,Blenheim,,
