link,strikethrough_price,sold_price,property_type,address,bedrooms,bathrooms,garages
/on/pickering-real-estate/6-1100-begley-st/home/02Zpj398bLO7DrK8/,"$969,900","$940,000",Condo Townhouse,"6 - 1100 Begley St , Pickering - Bay Ridges",,,
/on/scarborough-real-estate/34-oakley-blvd/home/wJKR7P8nWrD7XeLP/,"$1,088,888","$1,010,000",Detached,"34 Oakley Blvd , Scarborough - Bendale",,,
/on/north-york-real-estate/34-barkwood-cres/home/DO1w3Wqr2Noy8Jg0/,"$1,698,888","$1,545,000",Detached,"34 Barkwood Cres , North York - Hillcrest Village",,,
/on/etobicoke-real-estate/113-1050-the-queensway-ave/home/MB5bO3xdpMd3kWVP/,"$665,000","$655,000",Condo Apt,"113 - 1050 The Queensway , Etobicoke - Islington-City Centre West",,,
/on/toronto-real-estate/94-kersdale-ave/home/9w8o3m5J4JZ3GKjm/,"$648,800","$680,000",Detached,"94 Kersdale Ave , Toronto - Keelesdale-Eglinton West",,,
/on/etobicoke-real-estate/g2-30-anglesey-blvd/home/5xLkv3V1Bnm7DBNr/,"$1,075,000","$1,000,000",Condo Apt,"G2 - 30 Anglesey Blvd , Etobicoke - Edenbridge-Humber Valley",,,
/on/vaughan-real-estate/722-100-eagle-rock-way/home/5xLkv3VmrOm7DBNr/,"$609,900","$605,000",Condo Apt,"722 - 100 Eagle Rock Way , Vaughan - Rural Vaughan",,,
/on/markham-real-estate/66-henry-bauer-ave-n/home/5xLkv3VXRdeyDBNr/,"$2,328,000","$2,280,000",Detached,"66 Henry Bauer Ave , Markham - Berczy",,,
/on/toronto-real-estate/31-antler-st/home/VaD6p78vAlnYwRQr/,"$1,099,900","$1,160,000",Semi-Detached,"31 Antler St , Toronto - Dovercourt-Wallace Emerson-Junction",,,
/on/north-york-real-estate/910-1461-lawrence-ave/home/B5bO3xXqE563kWVP/,"$699,999","$705,000",Condo Apt,"910 - 1461 Lawrence Ave , North York - Brookhaven-Amesbury",,,
/on/north-york-real-estate/205-503-beecroft-rd/home/BXeEn7XEPmG3rPo8/,"$649,000","$639,000",Condo Apt,"205 - 503 Beecroft Rd , North York - Willowdale West",,,
/on/toronto-real-estate/106-262-st-helens-ave/home/obqB176wVjK3ZajD/,"$799,900","$860,000",Condo Townhouse,"106 - 262 St Helens Ave , Toronto - Dufferin Grove",,,
/on/toronto-real-estate/9-berkshire-ave/home/weQp5yOjJPBYd0ZE/,"$799,000","$875,000",Semi-Detached,"9 Berkshire Ave , Toronto - South Riverdale",,,
/on/markham-real-estate/2-harpers-croft/home/JRv53KDNwo2YVPW4/,"$2,599,000","$2,500,888",Detached,"2 Harpers Croft , Markham - Unionville",,,
/on/pickering-real-estate/1481-major-oaks-rd/home/BDO1w3WwDRd38Jg0/,"$865,000","$855,000",Freehold Townhouse,"1481 Major Oaks Rd , Pickering - Brock Ridge",,,
/on/north-york-real-estate/256-johnston-ave/home/BXeEn7X2grDYrPo8/,"$1,550,000","$1,770,001",Detached,"256 Johnston Ave , North York - Lansing-Westgate",,,
/on/toronto-real-estate/80-curzon-st/home/jAXw7Qw1nX1YQOzg/,"$988,000","$925,000",Semi-Detached,"80 Curzon St , Toronto - South Riverdale",,,
/on/markham-real-estate/18-village-squire-lane/home/Zaw5Yo50rl67n961/,"$2,299,900","$2,200,000",Detached,"18 Village Squire Lane , Markham - Royal Orchard",,,
/on/mississauga-real-estate/2576-evelyn-crt/home/4KAX7NO81EO3eRPJ/,"$1,250,000","$1,280,000",Detached,"2576 Evelyn Crt , Mississauga - Cooksville",,,
/on/richmond-hill-real-estate/59-oatlands-cres/home/weQp5yO8NDG7d0ZE/,"$2,388,000","$2,350,000",Detached,"59 Oatlands Cres , Richmond Hill - Mill Pond",,,
/on/north-york-real-estate/260-60-parrotta-dr/home/GMnKYqpbrm13w1Qr/,"$639,999","$675,000",Condo Townhouse,"260 - 60 Parrotta Dr , North York - Humberlea-Pelmo Park W5",,,
/on/north-york-real-estate/635-15-james-finlay-way/home/510QqypGDP8YLGlV/,"$519,888","$522,000",Condo Apt,"635 - 15 James Finlay Way , North York - Downsview-Roding-CFB",,,
/on/scarborough-real-estate/929-25-bamburgh-circ/home/a6zqW7dmag135eZE/,"$460,000","$560,000",Condo Apt,"929 - 25 Bamburgh Circ , Scarborough - Steeles",,,
/on/etobicoke-real-estate/29-cromer-pl/home/L4KAX7NrzXr7eRPJ/,"$1,338,888","$1,315,000",Detached,"29 Cromer Pl , Etobicoke - Willowridge-Martingrove-Richview",,,
/on/vaughan-real-estate/48-portofino-crt/home/eVbOYEpAW4D3x2P0/,"$999,999","$1,070,000",Detached,"48 Portofino Crt , Vaughan - Crestwood-Springfarm-Yorkhill",,,
/on/toronto-real-estate/ph-4-30-holly-st/home/jJKdOYr9r2o354lW/,"$849,000","$825,000",Condo Apt,"PH 4 - 30 Holly St , Toronto - Mount Pleasant West",,,
/on/toronto-real-estate/12-2063-weston-rd/home/NAKv53DG9ZJ7MnxB/,"$650,000","$645,000",Condo Townhouse,"12 - 2063 WESTON Rd , Toronto - Weston",,,
/on/vaughan-real-estate/77-starling-blvd/home/eVbOYEpAJo53x2P0/,"$1,494,000","$1,448,888",Detached,"77 Starling Blvd , Vaughan - Vellore Village",,,
/on/toronto-real-estate/3307-28-ted-rogers-way/home/gJRv53Kl4O2YVPW4/,"$668,000","$645,000",Condo Apt,"3307 - 28 Ted Rogers Way , Toronto - Church-Yonge Corridor",,,
/on/vaughan-real-estate/83-convoy-cres/home/N0A9X3j5zA47vgxV/,"$1,349,000","$1,299,000",Semi-Detached,"83 Convoy Cres , Vaughan - Maple",,,
/on/toronto-real-estate/2909-397-front-st-w/home/kbEDRYawxEb71VaB/,"$679,000","$665,000",Condo Apt,"2909 - 397 Front St W , Toronto - Waterfront Communities C1",,,
/on/markham-real-estate/1012-48-suncrest-blvd/home/0MWBVyZWO957Kemj/,"$545,000","$515,000",Condo Apt,"1012 - 48 Suncrest Blvd , Markham - Commerce Valley",,,
/on/north-york-real-estate/201-509-beecroft-rd/home/damgL7A1WXL7Z1MW/,"$888,800","$850,000",Condo Apt,"201 - 509 Beecroft Rd , North York - Willowdale West",,,
/on/toronto-real-estate/2209-38-dan-leckie-way/home/gaQmD7zVplZ7J9Bo/,"$689,000","$670,000",Condo Apt,"2209 - 38 Dan Leckie Way , Toronto - Waterfront Communities C1",,,
/on/mississauga-real-estate/62-minnewawa-rd/home/BDO1w3WqoOwy8Jg0/,"$1,849,000","$1,831,000",Detached,"62 Minnewawa Rd , Mississauga - Port Credit",,,
/on/mississauga-real-estate/54-3030-breakwater-crt-n/home/gJRv53Kb5GP7VPW4/,"$878,000","$872,500",Condo Townhouse,"54 - 3030 Breakwater Crt , Mississauga - Cooksville",,,
/on/vaughan-real-estate/89-ravel-dr/home/amgL7A4l8v9yZ1MW/,"$1,950,000","$1,880,000",Detached,"89 Ravel Dr , Vaughan - Patterson",,,
/on/north-york-real-estate/1109-75-canterbury-pl/home/gaQmD7zAlRMyJ9Bo/,"$498,000","$548,000",Condo Apt,"1109 - 75 Canterbury Pl , North York - Willowdale West",,,
/on/toronto-real-estate/85-deloraine-ave/home/10QqypNr5l83LGlV/,"$2,295,000","$2,400,000",Detached,"85 Deloraine Ave , Toronto - Lawrence Park North",,,
/on/toronto-real-estate/3702-28-freeland-st/home/VLaGyG2Nq20YW1ZD/,"$1,299,988","$1,255,000",Condo Apt,"3702 - 28 Freeland St , Toronto - Waterfront Communities C1",,,
/on/toronto-real-estate/1411-99-foxbar-rd/home/NAKv53D6jmJyMnxB/,"$549,000","$543,000",Condo Apt,"1411 - 99 Foxbar Rd , Toronto - Yonge-St. Clair",,,
/on/north-york-real-estate/1817-100-harrison-garden-blvd/home/5xLkv3V1rZZ7DBNr/,"$659,000","$653,000",Condo Apt,"1817 - 100 Harrison Garden Blvd , North York - Willowdale East",,,
/on/etobicoke-real-estate/24-winsdale-rd/home/L5VXv3l9rkOYj2q8/,"$1,679,000","$1,600,000",Detached,"24 Winsdale Rd , Etobicoke - Markland Wood",,,
/on/vaughan-real-estate/56-tiana-crt/home/NAKv53DgwgW7MnxB/,"$1,299,888","$1,465,000",Detached,"56 Tiana Crt , Vaughan - Vellore Village",,,
/on/toronto-real-estate/1238-dundas-st-e/home/nM697k58b2oYbmwe/,"$55,000","$55,000",Parking Space,"1238 Dundas St E , Toronto - South Riverdale",,,
/on/vaughan-real-estate/29-kilmuir-gate/home/5VXv3lXo0zp3j2q8/,"$1,988,000","$1,905,000",Detached,"29 Kilmuir Gate , Vaughan - Islington Woods",,,
/on/north-york-real-estate/15-102-george-henry-blvd/home/xLkv3V9a9vR7DBNr/,"$499,999","$650,055",Condo Townhouse,"15 - 102 George Henry Blvd , North York - Henry Farm",,,
/on/vaughan-real-estate/303-9225-jane-st/home/BDO1w3W9Kq6y8Jg0/,"$529,900","$515,000",Condo Apt,"303 - 9225 Jane St , Vaughan - Maple",,,
/on/toronto-real-estate/343-15-merchant-s-way/home/mLzQ1y5AA09yqdeK/,"$599,800","$595,000",Condo Apt,"343 - 15 Merchant's Wharf Way , Toronto - Waterfront Communities C8",,,
/on/mississauga-real-estate/1808-4080-living-arts-dr/home/gaQmD7zkQmr3J9Bo/,"$609,900","$593,500",Condo Apt,"1808 - 4080 Living Arts Dr , Mississauga - City Centre",,,
/on/north-york-real-estate/30-forge-dr/home/jAXw7Qw4wVMYQOzg/,"$849,999","$895,000",Detached,"30 Forge Dr , North York - Black Creek",,,
/on/toronto-real-estate/523-40-sylvan-valleyway-way/home/knbq6y1Arx9yo9DA/,"$889,000","$889,000",Condo Apt,"523 - 40 Sylvan Valleyway , Toronto - Bedford Park-Nortown",,,
/on/ajax-real-estate/117-hurst-dr/home/EeVbOYEVEBKyx2P0/,"$1,469,888","$1,570,000",Detached,"117 Hurst Dr , Ajax - Northwest Ajax",,,
/on/north-york-real-estate/802-10-parkway-forest-dr/home/PXRla7gaJ0GYjEvL/,"$510,000","$505,000",Condo Apt,"802 - 10 Parkway Forest Dr , North York - Henry Farm",,,
/on/etobicoke-real-estate/1919-5233-dundas-st-w/home/kbEDRYaGj5b71VaB/,"$498,000","$495,000",Condo Apt,"1919 - 5233 Dundas St W , Etobicoke - Islington-City Centre West",,,
/on/toronto-real-estate/2409-195-redpath-ave/home/1DBW7RDNqGoYqlAp/,"$639,000","$620,000",Condo Apt,"2409 - 195 Redpath Ave , Toronto - Mount Pleasant West",,,
/on/toronto-real-estate/1008-200-victoria-st/home/510QqypnZem3LGlV/,"$380,000","$375,000",Condo Apt,"1008 - 200 Victoria St , Toronto - Church-Yonge Corridor",,,
/on/markham-real-estate/7-marion-cres/home/wJKR7P81WW17XeLP/,"$999,900","$1,200,000",Link,"7 Marion Cres , Markham - Raymerville",,,
/on/markham-real-estate/607a-1-upper-duke-cres/home/x9w8o3mPP8k7GKjm/,"$838,000","$815,000",Condo Apt,"607A - 1 Upper Duke Cres , Markham - Unionville",,,
/on/etobicoke-real-estate/4-markhall-ave/home/ZNkKJ3JNKZ3d4V6q/,"$1,299,000","$1,220,000",Detached,"4 Markhall Ave , Etobicoke - Islington-City Centre West",,,
/on/scarborough-real-estate/956-danforth-rd/home/jJKdOYrGnWBy54lW/,"$999,900","$1,057,000",Detached,"956 Danforth Rd , Scarborough - Kennedy Park",,,
/on/markham-real-estate/51-leitchcroft-cres/home/kbEDRYaPJRO31VaB/,"$1,050,000","$1,105,000",Freehold Townhouse,"51 Leitchcroft Cres , Markham - Commerce Valley",,,
/on/markham-real-estate/31-sir-caradoc-pl/home/4KAX7NONXNo3eRPJ/,"$1,150,000","$1,120,000",Detached,"31 Sir Caradoc Pl , Markham - Markham Village",,,
/on/north-york-real-estate/2503-115-mcmahon-dr/home/amgL7A4vwM2yZ1MW/,"$759,000","$735,000",Condo Apt,"2503 - 115 Mcmahon Dr , North York - Bayview Village",,,
/on/markham-real-estate/107-greensboro-dr-s/home/LzQ1y5Ee09jyqdeK/,"$1,350,000","$1,551,888",Link,"107 Greensboro Dr S , Markham - Milliken Mills West",,,
/on/etobicoke-real-estate/126-251-manitoba-st-s/home/Vwod7vrRz4975mGN/,"$724,888","$723,000",Condo Townhouse,"126 - 251 Manitoba St , Etobicoke - Mimico",,,
/on/north-york-real-estate/115-cassandra-blvd/home/Vwod7vreW2D75mGN/,"$1,688,000","$1,747,200",Detached,"115 Cassandra Blvd , North York - Parkwoods-Donalda",,,
/on/toronto-real-estate/17-maughan-cres/home/RdXze3eKnVzy8m9K/,"$1,749,000","$2,010,000",Detached,"17 Maughan Cres , Toronto - Woodbine Corridor",,,
/on/scarborough-real-estate/7-wortham-dr/home/b1DBW7RlDpQYqlAp/,"$1,149,000","$1,205,000",Detached,"7 Wortham Dr , Scarborough - Woburn",,,
