link,strikethrough_price,sold_price,property_type,address
/on/toronto-real-estate/46-lansdowne-ave/home/knbq6y1LdR4Yo9DA/,"$1,100,000","$1,075,000",Freehold Townhouse,"46 Lansdowne Ave , Toronto - Roncesvalles"
/on/north-york-real-estate/271-downsview-park-blvd/home/0MWBVyZdWEk3Kemj/,"$868,000","$850,000",Freehold Townhouse,"271 Downsview Park Blvd , North York - Downsview-Roding-CFB"
/on/toronto-real-estate/30-dacre-cres/home/0Zaw5Yo2xm23n961/,"$1,898,000","$2,130,000",Detached,"30 Dacre Cres , Toronto - High Park-Swansea"
/on/toronto-real-estate/1898-dufferin-st/home/510QqypEd117LGlV/,"$699,000","$755,000",Freehold Townhouse,"1898 Dufferin St , Toronto - Corso Italia-Davenport"
/on/scarborough-real-estate/295-1-2-victoria-park-ave/home/0MWBVyZdZm23Kemj/,"$899,000","$1,047,000",Semi-Detached,"295 1/2 Victoria Park Ave , Scarborough - Birchcliffe-Cliffside"
/on/scarborough-real-estate/38-scarcliff-gdns/home/0ZxwR7Mwob9YKabB/,"$1,049,900","$1,052,400",Detached,"38 Scarcliff Gdns , Scarborough - Guildwood"
/on/north-york-real-estate/263-hillmount-ave/home/weQp5yO8g917d0ZE/,"$1,379,000","$1,518,000",Detached,"263 Hillmount Ave , North York - Yorkdale-Glen Park"
/on/toronto-real-estate/102-6-parkwood-ave/home/ZNkKJ3J0KNxyd4V6/,"$799,000","$760,000",Condo Townhouse,"102 - 6 Parkwood Ave , Toronto - Forest Hill South"
/on/toronto-real-estate/171-woodmount-ave/home/5xLkv3Ven67DBNrW/,"$989,000","$975,000",Detached,"171 Woodmount Ave , Toronto - Danforth Village-East York"
/on/north-york-real-estate/214-old-yonge-st/home/0ZxwR7M9lEm7KabB/,"$4,498,000","$4,225,000",Detached,"214 Old Yonge St , North York - St. Andrew-Windfields"
/on/toronto-real-estate/10-draper-st/home/damgL7A22423Z1MW/,"$1,995,000","$1,950,000",Semi-Detached,"10 Draper St , Toronto - Waterfront Communities C1"
/on/toronto-real-estate/4a-portland-st/home/0MWBVyZdopp3Kemj/,"$779,900","$816,000",Condo Townhouse,"4A Portland St , Toronto - Waterfront Communities C1"
/on/toronto-real-estate/15-57-east-liberty-st/home/0J6Em7b9xZGyXBeq/,"$845,000","$820,000",Condo Townhouse,"15 - 57 East Liberty St , Toronto - Niagara"
/on/scarborough-real-estate/137-roebuck-dr/home/5xLkv3VXAZnyDBNr/,"$899,000","$975,000",Detached,"137 Roebuck Dr , Scarborough - Kennedy Park"
/on/scarborough-real-estate/25-neilson-ave-e/home/EeVbOYED9Dr3x2P0/,"$799,000","$901,088",Detached,"25 Neilson Ave , Scarborough - Cliffcrest"
/on/toronto-real-estate/73-mcmurray-ave/home/ZNkKJ3JrOrz3d4V6/,"$989,000","$989,000",Freehold Townhouse,"73 Mcmurray Ave , Toronto - Junction Area"
/on/toronto-real-estate/22-68-carr-st/home/0Zaw5Yo28V03n961/,"$699,900","$760,000",Condo Townhouse,"22 - 68 Carr St , Toronto - Kensington-Chinatown"
/on/toronto-real-estate/100a-bedford-park-ave/home/gJRv53K9ZDqyVPW4/,"$1,699,000","$1,720,000",Semi-Detached,"100A Bedford Park Ave , Toronto - Lawrence Park North"
/on/toronto-real-estate/62-felbrigg-ave/home/0Zaw5YoQDzm7n961/,"$2,998,000","$2,965,000",Detached,"62 Felbrigg Ave , Toronto - Bedford Park-Nortown"
/on/toronto-real-estate/2-10-buller-ave/home/L4KAX7NER8qyeRPJ/,"$1,179,900","$1,150,000",Condo Townhouse,"2 - 10 Buller Ave , Toronto - The Beaches"
/on/toronto-real-estate/479-lytton-blvd/home/damgL7AV5RE3Z1MW/,"$2,099,000","$2,025,000",Detached,"479 Lytton Blvd , Toronto - Bedford Park-Nortown"
/on/scarborough-real-estate/36-sharbot-ave/home/510QqyprQd13LGlV/,"$929,000","$975,000",Detached,"36 Sharbot Ave , Scarborough - Woburn"
/on/toronto-real-estate/9-woodenhill-crt/home/0Zaw5Yoaa4L7n961/,"$869,000","$960,000",Semi-Detached,"9 Woodenhill Crt , Toronto - Keelesdale-Eglinton West"
/on/toronto-real-estate/636-glebeholme-blvd/home/MB5bO3xxGVp3kWVP/,"$989,000","$1,185,000",Semi-Detached,"636 Glebeholme Blvd , Toronto - Danforth"
/on/toronto-real-estate/93-caithness-ave/home/zVwod7vQKVry5mGN/,"$999,000","$1,285,000",Semi-Detached,"93 Caithness Ave , Toronto - Danforth"
/on/toronto-real-estate/148-dynevor-rd/home/N0A9X3jwQqDYvgxV/,"$688,000","$730,000",Detached,"148 Dynevor Rd , Toronto - Caledonia-Fairbank"
/on/toronto-real-estate/135-heward-ave/home/02Zpj39Lm6k7DrK8/,"$1,299,900","$1,400,000",Semi-Detached,"135 Heward Ave , Toronto - South Riverdale"
/on/north-york-real-estate/123-anthony-rd/home/weQp5yOR1d1Yd0ZE/,"$929,000","$929,000",Detached,"123 Anthony Rd , North York - Downsview-Roding-CFB"
/on/toronto-real-estate/132-felstead-ave/home/N0A9X3jwMXdYvgxV/,"$1,049,900","$1,200,000",Semi-Detached,"132 Felstead Ave , Toronto - Greenwood-Coxwell"
/on/toronto-real-estate/18-cottingham-rd/home/ZNkKJ3JK41Yd4V6q/,"$2,800,000","$2,750,000",Detached,"18 Cottingham Rd , Toronto - Casa Loma"
/on/toronto-real-estate/69-helena-ave/home/ZEXrx30XDe43OklN/,"$1,709,000","$2,050,000",Detached,"69 Helena Ave , Toronto - Wychwood"
/on/scarborough-real-estate/144-thicketwood-dr/home/owJKR7PQzJX3XeLP/,"$749,900","$852,000",Detached,"144 Thicketwood Dr , Scarborough - Eglinton East"
/on/toronto-real-estate/70-bude-st/home/zVwod7vjQK975mGN/,"$1,689,000","$1,600,000",Detached,"70 Bude St , Toronto - Oakwood-Vaughan"
/on/toronto-real-estate/15-crestview-rd/home/weQp5yOJg8bYd0ZE/,"$1,995,000","$1,950,000",Detached,"15 Crestview Rd , Toronto - Lawrence Park South"
/on/toronto-real-estate/2-43-dekoven-mews/home/6VLaGyGEdzB3W1ZD/,"$869,000","$860,000",Condo Townhouse,"2 - 43 Dekoven Mews , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/toronto-real-estate/32-blakley-ave/home/2Z5BX32dopXyDar0/,"$659,000","$700,000",Detached,"32 Blakley Ave , Toronto - Rockcliffe-Smythe"
/on/toronto-real-estate/49-birdstone-cres/home/JjAXw7QEep7QOzgm/,"$749,900","$830,000",Condo Townhouse,"49 Birdstone Cres , Toronto - Junction Area"
/on/toronto-real-estate/326-riverdale-ave/home/L4KAX7NExzPyeRPJ/,"$1,099,000","$1,285,501",Semi-Detached,"326 Riverdale Ave , Toronto - Blake-Jones"
/on/toronto-real-estate/80-felbrigg-ave/home/r56k97waDJOYKRjD/,"$1,600,000","$1,700,008",Detached,"80 Felbrigg Ave , Toronto - Bedford Park-Nortown"
/on/scarborough-real-estate/75-scarborough-heights-blvd/home/EeVbOYE9mEVYx2P0/,"$1,149,000","$1,250,000",Detached,"75 Scarborough Heights Blvd , Scarborough - Cliffcrest"
/on/toronto-real-estate/83-don-valley-dr/home/gJRv53K9m1DyVPW4/,"$899,000","$1,051,000",Detached,"83 Don Valley Dr , Toronto - Broadview North"
/on/scarborough-real-estate/19-neilson-ave/home/r56k97wOjwQ7KRjD/,"$989,000","$1,100,000",Detached,"19 Neilson Ave , Scarborough - Cliffcrest"
/on/toronto-real-estate/432-concord-ave/home/6VLaGyGlgaJ7W1ZD/,"$1,099,000","$1,340,432",Semi-Detached,"432 Concord Ave , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/toronto-real-estate/1335-dupont-st/home/knbq6y1K4dE3o9DA/,"$699,000","$831,000",Semi-Detached,"1335 Dupont St , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/toronto-real-estate/112-hollywood-cres/home/L4KAX7NEpPdyeRPJ/,"$998,000","$1,250,000",Semi-Detached,"112 Hollywood Cres , Toronto - Woodbine Corridor"
/on/toronto-real-estate/home/EeVbOYE9ZqOYx2P0/,$-,,,"148 Dynevor Drive , Toronto - Caledonia-Fairbank"
/on/toronto-real-estate/114-main-st/home/owJKR7PaZLM3XeLP/,"$849,000","$980,000",Freehold Townhouse,"114 Main St , Toronto - East End-Danforth"
/on/north-york-real-estate/42-gordon-rd/home/obqB176G00W3ZajD/,"$4,318,000","$3,950,000",Detached,"42 Gordon Rd , North York - St. Andrew-Windfields"
/on/toronto-real-estate/1299-pape-ave/home/weQp5yOmqzv3d0ZE/,"$950,000","$905,000",Detached,"1299 Pape Ave , Toronto - East York"
/on/toronto-real-estate/76-duggan-ave/home/0ZxwR7M9PE97KabB/,"$2,889,900","$2,800,000",Detached,"76 Duggan Ave , Toronto - Yonge-St. Clair"
/on/toronto-real-estate/609-glenholme-ave/home/MB5bO3xaEQ6YkWVP/,"$799,900","$851,000",Detached,"609 Glenholme Ave , Toronto - Oakwood-Vaughan"
/on/toronto-real-estate/119-boultbee-ave/home/510Qqyp5j5a7LGlV/,"$1,170,000","$1,120,000",Detached,"119 Boultbee Ave , Toronto - Blake-Jones"
/on/scarborough-real-estate/3-2784-eglinton-ave-e/home/2Z5BX328XG5yDar0/,"$699,000","$730,000",Condo Townhouse,"3 - 2784 Eglinton Ave E , Scarborough - Eglinton East"
/on/toronto-real-estate/116-tarragona-blvd/home/dXawjy4BEGg3rR18/,"$949,900","$949,000",Semi-Detached,"116 Tarragona Blvd , Toronto - Junction Area"
/on/scarborough-real-estate/9-north-woodrow-blvd/home/jJKdOYrQowj354lW/,"$779,900","$769,000",Semi-Detached,"9 North Woodrow Blvd , Scarborough - Clairlea-Birchmount"
/on/toronto-real-estate/201-oakcrest-ave/home/ZEXrx30zEMnyOklN/,"$839,000","$840,000",Semi-Detached,"201 Oakcrest Ave , Toronto - East End-Danforth"
/on/toronto-real-estate/67-burncrest-dr/home/damgL7A2gap3Z1MW/,"$1,099,000","$1,400,000",Detached,"67 Burncrest Dr , Toronto - Bedford Park-Nortown"
/on/north-york-real-estate/195-sloane-ave/home/0ZxwR7M9mwz7KabB/,"$995,000","$1,150,000",Detached,"195 Sloane Ave , North York - Victoria Village"
/on/toronto-real-estate/3-concord-ave/home/6VLaGyG2w2MYW1ZD/,"$1,249,000","$1,482,000",Freehold Townhouse,"3 Concord Ave , Toronto - Palmerston-Little Italy"
/on/scarborough-real-estate/29-lilian-dr/home/02Zpj39L5Aq7DrK8/,"$849,900","$870,000",Detached,"29 Lilian Dr , Scarborough - Wexford-Maryvale"
/on/toronto-real-estate/153-fairview-ave/home/N0A9X3jwX5wYvgxV/,"$1,059,000","$1,303,000",Detached,"153 Fairview Ave , Toronto - Junction Area"
/on/toronto-real-estate/200-seaton-st/home/obqB176DJqvYZajD/,"$1,754,000","$1,727,000",Semi-Detached,"200 Seaton St , Toronto - Cabbagetown-South St. James Town"
/on/north-york-real-estate/1005-125-george-appleton-way/home/knbq6y1z6Q47o9DA/,"$594,000","$585,000",Condo Townhouse,"1005 - 125 George Appleton Way , North York - Downsview-Roding-CFB"
/on/toronto-real-estate/557-euclid-ave/home/a6zqW7d0D2p75eZE/,"$3,350,000","$3,350,000",Detached,"557 Euclid Ave , Toronto - Little Portugal"
/on/toronto-real-estate/79-cleveland-st/home/zVwod7vXN69Y5mGN/,"$1,095,000","$1,040,000",Semi-Detached,"79 Cleveland St , Toronto - Mount Pleasant East"
/on/north-york-real-estate/69-pintail-cres/home/0MWBVyZdkeX3Kemj/,"$829,000","$820,000",Semi-Detached,"69 Pintail Cres , North York - Parkwoods-Donalda"
/on/toronto-real-estate/221-clendenan-ave/home/6VLaGyGPvjK7W1ZD/,"$1,849,000","$1,830,000",Detached,"221 Clendenan Ave , Toronto - High Park North"
/on/toronto-real-estate/70-chamberlain-ave/home/b1DBW7RqL41yqlAp/,"$795,000","$785,000",Detached,"70 Chamberlain Ave , Toronto - Briar Hill-Belgravia"
/on/toronto-real-estate/343-crawford-st/home/owJKR7PQV0O3XeLP/,"$1,298,000","$1,430,000",Freehold Townhouse,"343 Crawford St , Toronto - Trinity-Bellwoods"
/on/toronto-real-estate/193-gainsborough-rd/home/JjAXw7Qpq4dyQOzg/,"$999,000","$1,075,000",Semi-Detached,"193 Gainsborough Rd , Toronto - Woodbine Corridor"
/on/toronto-real-estate/204-alton-ave/home/BGMnKYqpgOK3w1Qr/,"$899,000","$1,100,000",Freehold Townhouse,"204 Alton Ave , Toronto - South Riverdale"
/on/toronto-real-estate/167-mortimer-ave/home/oK8OgYBlwbj7JmG2/,"$999,000","$1,128,888",Semi-Detached,"167 Mortimer Ave , Toronto - Danforth Village-East York"
/on/toronto-real-estate/97-bowmore-rd/home/gJRv53K9XkoyVPW4/,"$1,289,900","$1,280,000",Detached,"97 Bowmore Rd , Toronto - Woodbine Corridor"
/on/toronto-real-estate/376-glen-manor-dr/home/BDO1w3WrR5j78Jg0/,"$1,249,000","$1,250,000",Detached,"376 Glen Manor Dr , Toronto - The Beaches"
/on/toronto-real-estate/316-arlington-ave/home/JjAXw7Q9rpa7QOzg/,"$1,449,000","$1,590,000",Detached,"316 Arlington Ave , Toronto - Humewood-Cedarvale"
/on/toronto-real-estate/332-30-western-battery-rd/home/dXawjy4Zra93rR18/,"$432,900","$415,000",Condo Townhouse,"332 - 30 Western Battery Rd , Toronto - Niagara"
/on/scarborough-real-estate/48-cathedral-bluffs-dr/home/gJRv53KmJX4yVPW4/,"$1,178,000","$1,158,000",Detached,"48 Cathedral Bluffs Dr , Scarborough - Cliffcrest"
