,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,lat,long,Frontage,Land Depth,no amenity,gym,pool,party room,security,parking,balcony,indoor pool,recreation,sauna,storage - locker,guest suites,outdoor pool,bbqs allowed,bike storage,carpet free,in suite laundry,media room,tennis court,car wash,squash/racquet court
3626,999000.0,"84 Belgravia Ave , Toronto - Briar Hill-Belgravia",W9390680,1514.4075354799998,Briar Hill-Belgravia,3,2,Detached,Wall Unit,Radiant,43.699092,-79.44317579999999,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3629,979000.0,"20 Perivale Cres , Scarborough - Bendale",E10415302,1399.1584581799998,Bendale,3,3,Detached,Central Air,Forced Air,43.7498015,-79.2421962,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631,949900.0,"140 - 1173 Dundas St E , Toronto - South Riverdale",E10423822,1299.5,South Riverdale,1,2,Condo Apt,Central Air,Radiant,43.6644818,-79.3416879,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3633,595000.0,"1216 - 801 King St W , Toronto - Niagara",C10424410,649.5,Niagara,1,1,Condo Apt,Central Air,Forced Air,43.64286370000001,-79.40713060000002,,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3636,499900.0,"301 - 30 Hayden St , Toronto - Church-Yonge Corridor",C9363727,549.5,Church-Yonge Corridor,1,1,Condo Apt,Central Air,Forced Air,43.6698357,-79.38495759999999,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3641,499990.0,"2403 - 99 John St , Toronto - Waterfront Communities C1",C9397381,549.5,Waterfront Communities C1,1,1,Condo Apt,Central Air,Forced Air,43.6475245,-79.38993119999999,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3643,999900.0,"16 Florida Cres , North York - Humbermede",W9510635,1300.0,Humbermede,3,2,Detached,Central Air,Forced Air,43.7348144,-79.5401419,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3645,1449000.0,"18 Perth Ave , Toronto - Dufferin Grove",C9378376,1750.0,Dufferin Grove,3,3,Freehold Townhouse,Central Air,Forced Air,43.65491,-79.44727999999999,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3647,614900.0,"422 - 10 Sunrise Ave , North York - Victoria Village",C9506891,1299.5,Victoria Village,4,2,Condo Apt,Window Unit,Radiant,43.7207247,-79.3014378,,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3649,599000.0,"1406 - 260 Heath St W , Toronto - Forest Hill South",C10426524,749.5,Forest Hill South,1,1,Condo Apt,Central Air,Forced Air,43.6865142,-79.4148378,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
