,price,address,mls,sqft,Community,beds,baths,Air Conditioning,Heating,Party/Meeting Room,Visitor Parking,Gym,Concierge,Balcony,Indoor Pool,Rooftop Deck/Garden,Party Room,Exercise Room,Storage - Locker,Exercise Centre,Security/Concierge,Visitor Parking,Guest Suites,Sauna,Outdoor Pool,Bbqs Allowed,Concierge,Carpet Free,In suite Laundry
37,599000.0,"2202 - 70 TEMPERANCE STREETToronto (Bay Street Corridor), Ontario M5H0B1",C10442895,549.5,Bay Street Corridor,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,568000.0,"201 - 25 RICHMOND STREET EToronto (Church-Yonge Corridor), Ontario M5C0A6",C10442819,549.5,Church-Yonge Corridor,1.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,535990.0,"202 - 25 NEIGHBOURHOOD LANEToronto (Stonegate-Queensway), Ontario M8Y0C4",W10442804,549.5,Stonegate-Queensway,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1599000.0,"212 - 629 KING STREET WToronto (Waterfront Communities), Ontario M5V0G9",C10442878,1099.5,Waterfront Communities C1,2.0,2.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,899000.0,"902 - 15 MERCHANTS' WHARF EToronto (Waterfront Communities), Ontario M5A0N8",C10442813,749.5,Waterfront Communities C8,2.0,2.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,380800.0,"103 - 2550 BATHURST STREETToronto (Forest Hill North), Ontario M6B2Z2",C10442783,749.5,Forest Hill North,1.0,1.0,Window air conditioner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1499000.0,"4 - 18 GREENBRIAR ROADToronto (Bayview Village), Ontario M2K0G7",C10442777,2124.5,Bayview Village,4.0,3.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,788000.0,"1018 - 270 DUFFERIN STREETToronto (South Parkdale), Ontario M6K3R4",W10442762,749.5,South Parkdale,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,642000.0,"1301 - 215 FORT YORK BOULEVARDToronto (Niagara), Ontario M5V4A2",C10442747,649.5,Niagara,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2190000.0,"504 - 346 DAVENPORT ROADToronto (Annex), Ontario M5R1K6",C10442760,1499.5,Annex,2.0,3.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,1249990.0,"TH07 - 5 DEFRIES STREETToronto (Regent Park), Ontario M5A0W7",C10442715,1099.5,Regent Park,3.0,3.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,524900.0,"327 - 7 SMITH CRESCENTToronto (Stonegate-Queensway), Ontario M8Z0G3",W10442670,549.5,Stonegate-Queensway,1.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,479000.0,"706 - 50 LOTHERTON PATHWAYToronto (Yorkdale-Glen Park), Ontario M6B2G8",W10442666,649.5,Yorkdale-Glen Park,3.0,1.0,"Window air conditioner, Ventilation system",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,705000.0,"1002 - 1 BLOOR STREET EToronto (Church-Yonge Corridor), Ontario M4W0A8",C10442674,549.5,Church-Yonge Corridor,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,478888.0,"907 - 3088 KENNEDY ROADToronto (Steeles), Ontario M1V5M4",E10442618,849.5,Steeles,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
52,499990.0,"708 - 21 OVERLEA BOULEVARDToronto (Thorncliffe Park), Ontario M4H1P2",C10442661,649.5,Thorncliffe Park,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,779000.0,"1213 - 50 POWER STREETToronto (Moss Park), Ontario M5A0V3",C10442637,849.5,Moss Park,2.0,2.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1808000.0,"4305 - 16 HARBOUR STREETToronto (Waterfront Communities), Ontario M5J2Z7",C10442621,1499.5,Waterfront Communities C1,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,669000.0,"802 - 8 DOVERCOURT ROADToronto (Little Portugal), Ontario M6J0B6",C10442622,649.5,Little Portugal,2.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,634900.0,"3401 - 33 SHORE BREEZE DRIVEToronto (Mimico), Ontario M8V0G1",W10442558,749.5,Mimico,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,668888.0,"502 - 1169 QUEEN STREET WToronto (Little Portugal), Ontario M6J0A4",C10442534,649.5,Little Portugal,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,549000.0,"1001 - 25 GRENVILLE STREETToronto (Bay Street Corridor), Ontario M4Y2X5",C10442531,649.5,Bay Street Corridor,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59,584900.0,"165 LEGION Road Unit# 2333Toronto, Ontario M8Y0B3",40680272,675.0,,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,899900.0,"230 GILBERT AVENUEToronto (Caledonia-Fairbank), Ontario M6E4W5",W10442514,900.0,Caledonia-Fairbank,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,579000.0,"57 - 68 WINSTON PARK BOULEVARDToronto (Downsview-Roding-CFB), Ontario M3K1C3",W10442006,849.5,Downsview-Roding-CFB,2.0,2.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,584900.0,"2333 - 165 LEGION ROADToronto (Mimico), Ontario M8Y0B3",W10442000,649.5,Mimico,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1790000.0,"203 MCKEE AVENUEToronto (Willowdale East), Ontario M2N4C9",C10442522,2250.0,Willowdale East,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
