price,address,mls,Calculated_sqft,Square Footage
1179000,31 Liscombe Road,W10431164,2145.67044405,
1995000,168 Mckee Avenue,C10431162,1750.0,
1349000,26 Cherrydale Court,E10431134,1123.85449344,
999900,91 Fortieth Street,W10431100,1357.2352204600002,
3450000,67 Mcadam Avenue,W10431000,4250.0,
1299999,16 Coxwell Avenue,E10430985,1276.1464562,
1488000,37 Regina Avenue,C10430967,1007.86055426,
1699000,310 Lee Avenue,E10430907,1206.93565559,
1350000,20 Mayall Avenue,W10430851,2250.0,
1638000,30 Gwendolen Avenue,C10430776,2235.5662312899995,
899900,146 Coleridge Avenue,E10430755,966.82318551,
3619000,38 Lorraine Drive,C10430753,4317.78563762,
950000,53 Satok Terrace,E10430736,1835.4064085,
1088000,4 Flatwoods Drive,E10430731,1333.4319319999995,
2998800,336 St Germain Avenue,C10430647,1443.79635148,
2489000,61 Laurentide Drive W,C10430576,1278.46930582,
1000000,521 Lansdowne Avenue,C10430525,1750.0,
999900,6 Wortham Drive S,E10430481,859.7342208,
1000000,22 Bimini Crescent,W10430445,1750.0,
1999000,215 Ridley Boulevard,C10430403,1141.6730535,
1199000,106 Cameron Avenue,W10430335,1216.87934641,
2288000,73 Neilson Avenue,E10430326,2134.8688704,
2998000,223 Byng Avenue,C10430330,4250.0,
949000,29 Checkendon Drive,W10430266,900.0,
1595000,136 Regina Avenue,C10430279,1560.7062985499997,
1889000,51 Glenholme Avenue,C10430269,2250.0,
2499900,351 Deloraine Avenue,C10430240,2250.0,
6995000,165 Roxborough Drive,C10430233,4250.0,
3588000,32 Swan Avenue,W10430153,2750.0,
999000,359 Westmoreland Avenue,W10430144,1300.0,
8995000,49 Rollscourt Drive,C10430126,4460.18557628,
1949000,42 Orley Avenue,E10429934,1514.07923653,
1975000,201 Gledhill Avenue,E10429925,1568.4380079199998,
5995000,52 Sunnydene Crescent,C10429900,-310.11441734000016,
1500000,62 Lanark Avenue,C10429882,751.750776,
2199980,138 Winston Park Boulevard,W10429820,3027.87753527,
1499000,442 Pharmacy Avenue W,E10429703,2250.0,
1495000,339 Rouge Hills Drive,E10429689,1300.0,
4299000,57 Meadowbank Road,W10429618,5000.0,
849000,43 Magnolia Avenue,E10429607,1024.24428645,
2590000,14 Kildonan Drive,E10429586,1914.79232378,
949900,28 Bellman Avenue,W10429485,1361.96487812,
999888,533A Mcroberts Avenue,W10429378,1129.0039431999996,
16500000,15 Tudor Gate,C10429265,4042.63236748,
1599000,39 Greengrove Crescent,C10429213,1300.0,
1049000,10 Fleetwood Avenue,W10429051,1265.6656467700002,
1148800,19 Dallington Drive,C10429034,1041.96058946,
799900,56 Branstone Road,W10429005,900.0,
1079900,104 Shady Hollow Drive,E10428895,1142.29090136,
1099000,632 Woodbine Avenue,E10428834,1492.9744577999995,
2279000,78 Shields Avenue,C10428816,1284.33455493,
999999,21 Gannet Road,E10428796,2250.0,
3998000,837 Royal York Road,W10428805,4250.0,
1099000,24 Leahurst Drive,E10428717,1234.72804539,
3295000,67 Walmsley Boulevard,C10428539,1585.8227828099996,
1778000,3 Lochway Court,W10428542,1582.74646019,
1099000,82 Sedgemount Drive,E10428546,1300.0,
17500000,101 Old Colony Road,C10428550,4225.01696547,
949900,9 O'connor Drive,E10428396,1394.84643984,
4480000,2B Carluke Crescent,C10428383,4357.090018469999,
1289000,592 O'connor Drive,E10428341,1300.0,
1695000,106 Willow Avenue,E10428284,10713.632587,
3338000,110 Mcallister Road,C10428277,4250.0,
979000,36 Tealham Drive,W10428247,1094.55300486,
1399000,75 Chelliah Court S,E10428215,2250.0,
1499800,83 Corinthian Boulevard,E10428154,2152.96083352,
3398000,117 Wedgewood Drive,C10428069,3747.3979655,
1100000,176 Lake Shore Drive,W10428000,1925.35709163,
1099000,15 Lighthall Crescent,E10427985,1397.26078261,
1858000,81 Kingslake Road,C10427898,2750.0,
1199000,25 Eastwood Avenue,E10427789,1648.49666695,
1299900,125 Renault Crescent,W10427673,1613.87565899,
1499900,225 Lauder Avenue,C10427536,1649.2662857999997,
1349000,2 Allonsius Drive,W10427475,1311.06885336,
1399000,18 Goa Court,W10427405,2051.8469097,
1788000,10B Chauncey Avenue,W10427318,2250.0,
1760000,41 Timbercreek Court,E10427248,2750.0,
1099000,226 Oakridge Drive,E10427242,1175.50722037,
1389999,90A Bicknell Avenue,W10427224,1300.0,
699000,15 Justice Gardens,W10427043,923.5630714099998,
2038000,53 Ferrier Avenue,E10426966,2229.69129467,
1898000,18 Kipling Grove Court,W10426872,3250.0,
2495000,73 Castle Frank Crescent,C10426690,2002.35665028,
2199999,220 Gracefield Avenue,W10426556,1257.77463168,
899000,62 Northfield Road,E10426531,794.1207155699999,
1499990,411 Murray Ross Parkway,W10426408,2250.0,
1075000,79 Warwick Castle Court,E10426404,1642.8079457999995,
1689000,5 Stonedene Boulevard,C10426382,3250.0,
3280000,22 Carmichael Avenue,C10426238,2030.502096,
1899900,18 Haig Avenue,E10426225,1477.5530182700002,
1475000,129 Clansman Boulevard,C10426066,1750.0,
2399000,71 Riverwood Parkway,W10426060,2750.0,
1122000,17 Bisset Avenue,W10426012,1300.0,
1498000,279 Reiner Road,C10425999,1452.86924279,
2988000,47 Terrace Avenue,C10425973,2371.03637113,
1648000,28 Barker Avenue,W10425971,2750.0,
925000,498 Caledonia Road,W10425915,819.9271658199999,
1599000,6 Wallbridge Court,C10425721,1430.1412679399998,
600000,1019 Greenwood Avenue,E10425652,900.0,
1588000,3 Blithfield Avenue,C10425572,1522.27164082,
1245900,112 Stapleton Drive,W11190021,1460.91202887,
1298000,42 Wilmont Drive,W10425441,1505.8771447299996,
3399000,323 Douglas Avenue,C10425439,2750.0,
970000,10 Rowallan Drive,E10425396,1422.0263637299995,
999888,32 Sabrina Drive,W10425387,1305.9409314,
899999,49 Orpington Crescent,W10425357,1124.8641472600002,
1149000,26 Breadner Drive,W10425330,1166.5268986,
2695000,13 Barfield Avenue,E10425248,1765.26022498,
998800,8 Chipper Crescent,E10425187,1725.54789232,
1899000,228 Donlands Avenue,E10425098,1750.0,
1099000,79 Weir Crescent,E10425027,1750.0,
4788000,79 Forest Grove Drive,C10425018,2859.51076425,
1099900,8 Grackle Trail,E10424940,1750.0,
2200000,65 Soudan Avenue,C10424724,1306.52864034,
1100000,36 Summerfield Crescent,W10424635,847.8358057399997,
1149000,128 Shropshire Drive,E10424648,1300.0,
2190000,11 Ashton Manor,W10424554,1505.5897486,
2899000,10 Haida Court,E10424450,3250.0,
2998800,6 Harnish Crescent,C10424359,3056.8561068500003,
1299975,137 Benleigh Drive,E10424324,756.0692526799999,
4295000,83 Lascelles Boulevard,C10424292,2415.203882,
4295000,79 Chudleigh Avenue,C10424215,2591.41000139,
2888000,38 Bevdale Road,C10424185,3250.0,
1498000,69 Ashmount Crescent,W10424026,2750.0,
1099000,89 Cree Avenue,E10424023,1649.49125131,
990000,3 Myrna Lane,E10423995,1698.53480888,
1169900,149 Glenwood Crescent,E10423943,1802.3461660400003,
1410000,4 Muskox Drive,E10423744,2250.0,
2850000,165 Armour Boulevard,C10423716,2750.0,
1275000,340 Mortimer Avenue,E10423622,892.5964074999999,
1875000,35 Daniellie Moore Circle,E10423571,1230.05328362,
1399000,110 Allenby Avenue,W10423429,2414.13395034,
1080000,76 Highhill Drive,E10423421,11113.81070842,
1650000,681 Scarlett Road,W10423384,2750.0,
3350000,208 Holmes Avenue,C10423378,4250.0,
1999000,46 Craigmore Crescent,C10423372,1349.11816347,
