,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,No amenity,Party/Meeting Room,Gym,Rooftop Deck/Garden,Balcony,Pool,Exercise Room,Sauna,Guest Suites,Party Room,Storage - Locker,Exercise Centre,Bbqs Allowed,Security/Concierge,Concierge,Visitor Parking,Recreation Room,geometry,ROUTE_NAME,RID,distance_to_subway,School Name,EQAO % at Levels 3/4,OSSLT % Successful,Fraiser Score,distance_to_school,total_area_within_800m,Neighbourhood,CRIME_PCA1,CRIME_PCA2
1320,1433900.0,373 The Westway,W10037480,1344.11833192,Willowridge-Martingrove-Richview,6.0,4.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5303315.068088985 10527514.528517338),LINE 2 (BLOOR - DANFORTH),2.0,7466.638639722125,Kipling Collegiate Institute,22.0,56.0,1.8,210.69899872559768,0.23275675502395649,Willowridge-Martingrove-Richview,-1.4644982732965484,-0.3185602380343454
1321,1239000.0,82 Bowie Avenue,W9929126,1377.36263707,Briar Hill-Belgravia,4.0,2.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5302710.074137164 10515014.225276913),LINE 1 (YONGE-UNIVERSITY),1.0,2222.337997927598,York Memorial Collegiate Institute,33.0,83.0,6.7,2667.5248285192424,0.4457845262361015,Briar Hill-Belgravia,-0.12780745553078018,-0.07396349164926629
1322,2200000.0,54 Batavia Avenue,W9926609,4250.0,Rockcliffe-Smythe,8.0,6.0,Detached,Central Air,Radiant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5306561.296116121 10519433.16194393),LINE 2 (BLOOR - DANFORTH),2.0,3203.170114488231,Runnymede Collegiate Institute,30.0,78.0,5.2,1010.5216835254568,0.0032953275955980004,Rockcliffe-Smythe,-1.005098170563946,-0.3986758160002272
1323,3795000.0,194 Sheldrake Boulevard,C9895648,1785.94198244,Mount Pleasant East,5.0,5.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5300443.770614992 10507611.47710721),LINE 1 (YONGE-UNIVERSITY),1.0,739.8243649684408,Northern Secondary School,67.0,91.0,7.7,987.5815464234012,0.363247247739564,Mount Pleasant East,-1.7925988626204548,0.8825571875351601
1325,1049000.0,22 Dashwood Crescent,W9889091,1300.0,Thistletown-Beaumonde Heights,3.0,2.0,Detached,Central Air,Forced Air,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-5294654.7291656 10525695.98855094),LINE 1 (YONGE-UNIVERSITY),1.0,7628.161446613881,Thistletown Collegiate Institute,6.0,77.0,3.9,2074.4265667275963,0.0,Thistletown-Beaumond Heights,1.6883177313664492,-1.9820118612477535
1326,1279000.0,37 Briar Dale Boulevard,E9856749,900.0,Birchcliffe-Cliffside,3.0,2.0,Detached,Wall Unit,Radiant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5306990.4475094825 10494717.658092525),LINE 2 (BLOOR - DANFORTH),2.0,2124.74613154424,Malvern Collegiate Institute,74.0,98.0,8.6,1814.4490903721316,44.89203669206567,Birchcliffe-Cliffside,-1.1805563775904777,0.8058219904439934
1327,979999.0,1267 Kingston Road,E9828885,847.5494859999999,Birchcliffe-Cliffside,3.0,1.0,Detached,Central Air,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5307097.093070624 10494631.985567521),LINE 2 (BLOOR - DANFORTH),2.0,2255.3463188011865,Malvern Collegiate Institute,74.0,98.0,8.6,1902.9204621703266,0.011152250859218,Birchcliffe-Cliffside,-1.1805563775904777,0.8058219904439934
1328,2499000.0,75 Ashbourne Drive,W9813543,2246.34842992,Islington-City Centre West,5.0,5.0,Detached,Central Air,Forced Air,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-5309776.64641478 10526176.482704762),LINE 2 (BLOOR - DANFORTH),2.0,1514.8998905211415,Etobicoke Collegiate Institute,63.0,92.0,7.3,2607.919597518433,0.2157239993356812,Islington,-1.8048131008183173,0.5070469928402329
1329,8888000.0,97 Post Road,C9813610,3590.9091581300004,Banbury-Don Mills,7.0,10.0,Detached,Central Air,Forced Air,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-5297169.068533711 10504176.423778992),LINE 1 (YONGE-UNIVERSITY),1.0,4341.032720496576,York Mills Collegiate Institute,71.0,92.0,8.3,2204.5394771139327,0.3330111288851515,Banbury-Don Mills,-2.115748400186179,0.741219880520184
1330,1098000.0,50 Exmoor Drive,W9809322,1366.7246747,Long Branch,4.0,2.0,Detached,Central Air,Forced Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5318185.854877956 10527176.332896495),LINE 2 (BLOOR - DANFORTH),2.0,7372.977343914177,Lakeshore Collegiate Institute,51.0,74.0,4.9,3214.334938610943,0.0864093048596246,Long Branch,0.6728160982389402,0.4602487621661593
