,Neighbourhood,Type,Count
306,Oakwood Village,Duplex,2
307,Oakwood Village,Investment,1
308,Oakwood Village,Semi-Detached,6
309,Old East York,Detached,28
310,Outside City,Apartment Unit,1
311,Outside City,Co-Op Apt,1
312,Outside City,Condo Apt,397
313,Outside City,Condo Townhouse,120
314,Outside City,Condo/Apt Unit,6
315,Outside City,Det Condo,2
316,Outside City,Detached,916
317,Outside City,Freehold Townhouse,161
318,Outside City,Link,33
319,Outside City,Row/Townhouse,1
320,Outside City,Semi-Detached,114
321,Outside City,Single Family Residence,2
322,Outside City,Vacant Land,1
323,Palmerston-Little Italy,Condo Apt,1
324,Palmerston-Little Italy,Detached,6
325,Palmerston-Little Italy,Semi-Detached,7
326,Parkwoods-O'Connor Hills,Detached,24
327,Pelmo Park-Humberlea,Condo Townhouse,4
328,Pelmo Park-Humberlea,Detached,18
329,Playter Estates-Danforth,Detached,5
330,Playter Estates-Danforth,Semi-Detached,1
331,Pleasant View,Condo Apt,2
332,Pleasant View,Detached,9
333,Pleasant View,Link,1
334,Pleasant View,Semi-Detached,4
335,Princess-Rosethorn,Detached,35
336,Regent Park,Condo Apt,10
337,Regent Park,Freehold Townhouse,1
338,Rexdale-Kipling,Condo Townhouse,1
339,Rexdale-Kipling,Detached,17
340,Rockcliffe-Smythe,Condo Apt,7
341,Rockcliffe-Smythe,Condo/Apt Unit,1
342,Rockcliffe-Smythe,Detached,17
343,Rockcliffe-Smythe,Semi-Detached,6
344,Roncesvalles,Condo Apt,1
345,Roncesvalles,Detached,4
346,Roncesvalles,Semi-Detached,8
347,Rosedale-Moore Park,Co-Op Apt,5
348,Rosedale-Moore Park,Condo Apt,13
349,Rosedale-Moore Park,Detached,28
350,Rosedale-Moore Park,Semi-Detached,4
351,Runnymede-Bloor West Village,Detached,5
352,Runnymede-Bloor West Village,Semi-Detached,1
353,Rustic,Detached,9
354,Rustic,Semi-Detached,1
355,Scarborough Village,Condo Apt,4
356,Scarborough Village,Detached,10
357,South Eglinton-Davisville,Condo Apt,31
358,South Eglinton-Davisville,Condo Townhouse,1
359,South Eglinton-Davisville,Detached,3
360,South Eglinton-Davisville,Duplex,1
361,South Parkdale,Condo Apt,9
362,South Parkdale,Condo Townhouse,4
363,South Parkdale,Detached,7
364,South Parkdale,Investment,1
365,South Riverdale,Condo Apt,24
366,South Riverdale,Condo Townhouse,7
367,South Riverdale,Detached,7
368,South Riverdale,Freehold Townhouse,1
369,South Riverdale,Parking Space,2
370,South Riverdale,Semi-Detached,12
371,St Lawrence-East Bayfront-The Islands,Condo Apt,62
372,St Lawrence-East Bayfront-The Islands,Parking Space,2
373,St.Andrew-Windfields,Condo Apt,1
374,St.Andrew-Windfields,Condo Townhouse,2
375,St.Andrew-Windfields,Detached,71
376,Steeles,Condo Apt,8
377,Steeles,Condo Townhouse,1
378,Steeles,Detached,8
379,Steeles,Freehold Townhouse,2
380,Steeles,Link,1
381,Stonegate-Queensway,Condo Apt,6
382,Stonegate-Queensway,Condo Townhouse,1
383,Stonegate-Queensway,Detached,38
384,Stonegate-Queensway,Freehold Townhouse,4
385,Stonegate-Queensway,Semi-Detached,2
386,Tam O'Shanter-Sullivan,Condo Apt,9
387,Tam O'Shanter-Sullivan,Condo Townhouse,1
388,Tam O'Shanter-Sullivan,Detached,10
389,The Beaches,Condo Apt,8
390,The Beaches,Detached,13
391,The Beaches,Freehold Townhouse,1
392,The Beaches,Semi-Detached,8
393,Thistletown-Beaumond Heights,Detached,10
394,Thorncliffe Park,Condo Apt,12
395,Thorncliffe Park,Condo Townhouse,2
396,Trinity-Bellwoods,Commercial/Retail,1
397,Trinity-Bellwoods,Condo Apt,3
398,Trinity-Bellwoods,Condo Townhouse,2
399,Trinity-Bellwoods,Detached,8
400,Trinity-Bellwoods,Freehold Townhouse,2
401,Trinity-Bellwoods,Investment,1
402,Trinity-Bellwoods,Semi-Detached,9
403,University,Condo Apt,4
404,University,Detached,3
405,University,Freehold Townhouse,1
406,Victoria Village,Condo Apt,9
407,Victoria Village,Detached,6
408,Wellington Place,Condo Apt,85
409,Wellington Place,Condo Townhouse,2
410,West Hill,Condo Apt,5
411,West Hill,Condo Townhouse,1
412,West Hill,Detached,22
413,West Hill,Freehold Townhouse,2
414,West Hill,Vacant Land,1
415,West Humber-Clairville,Att/Row/Twnhouse,1
416,West Humber-Clairville,Condo Apt,5
417,West Humber-Clairville,Condo Townhouse,1
418,West Humber-Clairville,Detached,15
419,West Queen West,Att/Row/Twnhouse,1
420,West Queen West,Condo Apt,18
421,West Queen West,Condo Townhouse,11
422,West Queen West,Detached,4
423,West Queen West,Freehold Townhouse,2
424,West Rouge,Condo Apt,2
425,West Rouge,Condo Townhouse,5
426,West Rouge,Detached,12
427,Westminster-Branson,Condo Apt,16
428,Westminster-Branson,Condo Townhouse,1
429,Westminster-Branson,Detached,6
430,Weston,Condo Apt,9
431,Weston,Condo Townhouse,2
432,Weston,Detached,15
433,Weston,Freehold Townhouse,1
434,Weston,Semi-Detached,2
435,Weston,Store W/Apt/Office,1
436,Weston-Pelham Park,Condo Apt,10
437,Weston-Pelham Park,Detached,8
438,Weston-Pelham Park,Land,1
439,Weston-Pelham Park,Semi-Detached,4
440,Wexford/Maryvale,Condo Apt,6
441,Wexford/Maryvale,Detached,38
442,Willowdale West,Condo Apt,18
443,Willowdale West,Detached,28
444,Willowridge-Martingrove-Richview,Condo Apt,3
445,Willowridge-Martingrove-Richview,Condo Townhouse,2
446,Willowridge-Martingrove-Richview,Detached,30
447,Willowridge-Martingrove-Richview,Semi-Detached,1
448,Woburn North,Condo Apt,12
449,Woburn North,Condo Townhouse,1
450,Woburn North,Detached,16
451,Woburn North,Semi-Detached,2
452,Woodbine Corridor,Detached,4
453,Woodbine Corridor,Semi-Detached,8
454,Woodbine-Lumsden,Detached,19
455,Woodbine-Lumsden,Semi-Detached,1
