link,strikethrough_price,sold_price,property_type,address
/on/toronto-real-estate/44-st-hubert-ave/home/9w8o3m5a9NJ3GKjm/,"$989,000","$900,000",Detached,"44 St Hubert Ave , Toronto - East York"
/on/toronto-real-estate/46-bowood-ave/home/4KAX7NOdmmx3eRPJ/,"$2,050,000","$2,033,000",Detached,"46 Bowood Ave , Toronto - Lawrence Park North"
/on/scarborough-real-estate/85-marcos-blvd/home/XeEn7X6Na4KYrPo8/,"$949,900","$1,035,786",Detached,"85 Marcos Blvd , Scarborough - Bendale"
/on/toronto-real-estate/298-lumsden-ave/home/obqB176ExaByZajD/,"$849,000","$870,000",Detached,"298 Lumsden Ave , Toronto - Woodbine-Lumsden"
/on/toronto-real-estate/145-springhurst-ave/home/zVwod7vO6p35mGNk/,"$1,668,888","$1,600,000",Detached,"145 Springhurst Ave , Toronto - South Parkdale"
/on/north-york-real-estate/27-sagebrush-lane/home/oK8OgYBab9x3JmG2/,"$1,699,000","$1,800,888",Detached,"27 Sagebrush Lane , North York - Parkwoods-Donalda"
/on/toronto-real-estate/16-clyde-ave/home/NAKv53DoKKE7MnxB/,"$4,899,000","$4,325,000",Detached,"16 Clyde Ave , Toronto - Bedford Park-Nortown"
/on/toronto-real-estate/101-maria-st/home/xLkv3V9dorz7DBNr/,"$1,439,000","$1,500,000",Freehold Townhouse,"101 Maria St , Toronto - Junction Area"
/on/north-york-real-estate/114-760-lawrence-ave-w/home/2Z5BX32raNl3Dar0/,"$599,900","$620,000",Condo Townhouse,"114 - 760 Lawrence Ave W , North York - Yorkdale-Glen Park"
/on/north-york-real-estate/108-bartley-dr/home/amgL7A4kWAmyZ1MW/,"$899,000","$1,050,000",Freehold Townhouse,"108 Bartley Dr , North York - Victoria Village"
/on/scarborough-real-estate/20-emcarr-dr/home/VaD6p78mZqz3wRQr/,"$1,199,880","$1,200,000",Detached,"20 Emcarr Dr , Scarborough - West Hill"
/on/north-york-real-estate/35-crossburn-dr/home/oK8OgYBpmoX7JmG2/,"$4,298,000","$3,935,000",Detached,"35 Crossburn Dr , North York - Banbury-Don Mills"
/on/scarborough-real-estate/991-pharmacy-ave/home/5xLkv3VONkQYDBNr/,"$1,399,999","$1,650,000",Detached,"991 Pharmacy Ave , Scarborough - Wexford-Maryvale"
/on/north-york-real-estate/201-fenn-ave/home/jAXw7QwEzRkYQOzg/,"$2,088,000","$1,975,000",Detached,"201 Fenn Ave , North York - St. Andrew-Windfields"
